German,English
allerdings,however
beziehungsweise,respectively
beispielsweise,for example
dennoch,nonetheless
ebenfalls,also
entweder,either
jedoch,however
keinesfalls,no way
möglicherweise,possibly
notwendig,necessary
plötzlich,suddenly
sowieso,anyway
tatsächlich,actually
unbedingt,absolutely
vermutlich,allegedly
wahrscheinlich,probably
zufällig,randomly
zunächst,first
anschließend,afterward
außerdem,aside from that
inzwischen,in the meantime
mittlerweile,in the meantime
künftig,future
derzeit,currently
häufig,frequently
selten,rarely
oftmals,often
bereits,already
ständig,constant
wenigstens,at least
möglichst,possible
gemeinsam,together
insgesamt,in total
durchaus,absolutely
scheinbar,apparently
wirklich,really
bereit,ready
fähig,capable
verfügbar,available
verantwortlich,responsible
wesentlich,significant
unabhängig,independent
zuständig,responsible
erfolgreich,successful
deutlich,clearly
angenehm,pleasant
ungewöhnlich,unusual
sinnvoll,sensible
geeignet,suitable
überzeugt,convinced
begeistert,enthusiastic
enttäuscht,disappointed
verwirrt,confused
überrascht,surprised
erschöpft,exhausted
erreichbar,reachable
verfügbar,available
erkennbar,recognizable
bedeutend,significant
entscheidend,decisive
erforderlich,necessary
freiwillig,voluntarily
grundsätzlich,basically
selbstverständlich,of course
verständlich,understandable
zuverlässig,reliable
bevorzugt,preferred
zusätzlich,additionally
betroffen,affected
beteiligt,involved
vorhanden,available
verantwortlich,responsible
notwendig,necessary
erledigen,complete
durchführen,carry out
berücksichtigen,take into account
ermöglichen,make possible
überprüfen,check
verbessern,improve
vorschlagen,suggest
beantragen,apply for
verhindern,impede
vorbereiten,prepare
beweisen,prove
überzeugen,convince
entstehen,arise
erscheinen,appear
beschreiben,describe
vergleichen,compare
entwickeln,develop
genau – exactly
vielleicht – maybe
enthalten,contain
festlegen,establish
darstellen,represent
Freundlich, Friendly
Schmetterling, Butterfly
Wolke, Cloud
Stuhl, Chair
Fenster, Window
Apfel, Apple